肝,14476
採,14470
範,14417
冒,14335
卑,14271
誉,14215
嵐,14172
斉,14149
恭,14147
枕,14136
賭,14119
朱,14112
輸,14033
臨,14003
憲,13974
喫,13969
猿,13958
億,13942
骸,13940
診,13857
寧,13837
鼓,13791
控,13788
狩,13738
熟,13719
煮,13708
沖,13700
獲,13690
孔,13653
漏,13630
劣,13629
陛,13621
笛,13606
炉,13575
賛,13563
泳,13513
寛,13439
卵,13432
冊,13425
催,13420
犠,13397
稽,13329
牲,13309
架,13286
壮,13272
譲,13269
序,13262
匠,13248
乏,13217
批,13170
戯,13156
彩,13119
盟,13099
憤,13046
潔,13025
佳,13014
契,12937
湾,12928
粒,12925
逮,12921
憂,12911
駒,12884
摘,12859
祥,12843
旋,12829
溶,12782
麦,12774
涯,12712
鈍,12694
慰,12691
粧,12620
塊,12617
芳,12603
据,12582
睡,12565
苛,12554
股,12529
鍋,12528
琴,12502
諦,12496
桃,12494
凶,12483
肥,12442
較,12437
磨,12392
棟,12389
漠,12386
遭,12382
宴,12379
紳,12361
錯,12355
稼,12334
悦,12321
貝,12260
晶,12258
堪,12220
漁,12188
覧,12139
巣,12060
崖,12036
酸,11994
隔,11987
呉,11931
妃,11929
絹,11926
粋,11920
辱,11789
帆,11784
滞,11780
塞,11770
窟,11756
鑑,11717
鉢,11709
痕,11691
績,11689
却,11654
囚,11617
献,11604
醜,11597
韓,11586
銅,11555
挟,11528
還,11524
挑,11473
牙,11458
贈,11431
掲,11422
株,11397
郡,11355
塀,11343
慈,11261
菓,11253
朗,11192
維,11162
是,11154
畜,11116
鬱,11107
誕,11098
促,11074
剤,11070
枯,11053
謙,11018
厄,11004
紛,10945
肯,10921
鎮,10906
縫,10906
徐,10899
痩,10877
泰,10838
貼,10782
旨,10770
渦,10761
概,10739
湿,10721
膚,10708
凡,10631
苗,10604
税,10599
鐘,10589
符,10584
蒸,10549
綿,10533
炭,10514
挿,10486
胴,10454
粗,10392
籍,10388
鎌,10359
膨,10329
汽,10305
曇,10302
妬,10284
汁,10280
隷,10200
排,10170
甚,10161
喚,10144
附,10108
履,10089
勧,10087
岐,10083
雇,10059
隻,10057
融,10045
託,10013
裾,10005
赦,9996
錠,9961
傘,9937
猟,9922
蔑,9885
択,9872
乞,9861
緩,9803
翻,9773
刷,9719
膳,9714
盾,9677
侯,9673
瓦,9669
遮,9608
核,9577
滴,9567
券,9554
拓,9526
敢,9503
胃,9487
励,9460
泡,9456
痴,9429
克,9427
嘲,9417
窮,9345
襟,9323
稚,9319
嫉,9303
尺,9290
葛,9286
飽,9272
項,9265
怨,9262
醒,9142
扇,9097
脂,9094
析,9070
艇,9066
衰,9041
径,9038
顧,8965
班,8953
盆,8906
糧,8905
戴,8901
浸,8895
削,8894
拙,8869
顕,8800
伺,8793
軌,8771
捉,8743
均,8734
唾,8669
陳,8658
巾,8622
欧,8542
肘,8507
缶,8504
妄,8407
浄,8396
豚,8359
忌,8333
鍛,8328
擦,8256
冠,8250
喪,8241
倫,8233
胞,8227
楼,8196
矛,8183
岳,8178
鋼,8174
零,8173
戚,8106
拘,8091
汰,8050
償,8010
虐,7976
把,7955
寮,7946
剛,7928
併,7905
濁,7904
疾,7900
陶,7881
嗅,7829
崇,7756
罵,7732
尼,7651
唄,7646
怠,7645
飢,7627
餌,7623
昧,7618
漫,7548
盲,7538
潤,7508
艶,7495
殻,7455
郵,7438
販,7415
貯,7404
鉛,7351
臆,7304
賃,7261
箸,7257
銘,7248
宰,7244
撲,7222
僅,7220
詮,7205
疎,7180
淑,7171
濯,7150
癒,7119
肢,7104
墨,7070
璧,7043
薫,7032
欺,6962
紺,6959
閑,6955
褒,6954
剖,6950
芽,6919
蜂,6907
墳,6873
侮,6870
郭,6861
虜,6854
餅,6853
咽,6850
妊,6839
粘,6832
糖,6825
懇,6787
宛,6743
秩,6714
偏,6686
弦,6682
棺,6652
刈,6648
柿,6638
帥,6618
峠,6616
藍,6595
鉱,6591
慨,6586
奔,6521
嗣,6513
俳,6466
蛮,6456
恒,6422
斗,6410
拐,6401
禅,6365
膜,6357
柵,6339
慄,6328
畏,6327
溝,6205
諾,6168
懲,6163
箇,6141
沸,6119
炊,6115
曖,6093
弄,6092
淫,6063
撤,6027
溺,6024
堕,6016
堤,6005
摂,5992
宵,5981
募,5980
喝,5930
暦,5915
妨,5907
刹,5842
椎,5841
枠,5834
漆,5833
暫,5821
圏,5812
羨,5802
蓄,5784
簿,5757
幣,5752
某,5744
欄,5737
抽,5734
票,5729
遍,5716
赴,5699
郊,5671
婿,5667
憧,5667
肺,5640
墜,5618
蛍,5617
傑,5613
桑,5601
漬,5585
釜,5571
暁,5546
朴,5533
兆,5532
伐,5505
彰,5472
頓,5455
詠,5453
俵,5415
潟,5394
吟,5381
蚊,5368
岬,5367
麓,5354
胎,5340
逐,5339
爽,5320
餓,5305
披,5280
阻,5244
吏,5242
慕,5232
蜜,5229
宜,5213
塾,5209
渇,5191
礎,5189
繊,5173
磁,5167
錬,5050
頻,5035
軟,5035
旬,5019
塁,4985
憩,4985
軸,4947
陵,4947
酬,4924
棋,4914
娠,4909
枢,4903
腸,4899
庶,4890
殖,4885
坪,4882
舗,4875
伎,4869
呈,4856
粛,4850
滋,4834
后,4820
酌,4810
譜,4801
翁,4788
擁,4746
峡,4735
瞭,4708
詣,4678
踪,4669
采,4636
虹,4623
錦,4584
燥,4566
芋,4548
槽,4545
謹,4539
褐,4538
貢,4533
渓,4523
腫,4519
煩,4518
傲,4473
髄,4464
緯,4459
捻,4422
勲,4419
妥,4408
購,4391
肖,4383
硝,4335
畔,4327
薪,4316
侶,4265
賜,4231
拷,4196
冥,4190
舷,4182
霜,4126
勅,4118
蔽,4090
桟,4061
芯,4048
迅,4044
覇,3964
愁,3915
抹,3914
藻,3908
謡,3906
穫,3891
擬,3840
但,3836
雌,3832
詐,3828
碑,3783
諭,3773
閥,3755
玩,3741
朽,3741
漸,3738
昆,3720
篤,3706
斑,3656
措,3627
衡,3622
匿,3616
搭,3592
貿,3560
茎,3555
需,3524
訂,3518
債,3508
萎,3488
挫,3457
享,3427
勃,3389
媛,3384
搬,3377
禍,3336
腎,3284
尿,3282
剰,3267
括,3248
轄,3243
菌,3234
貪,3221
洪,3218
媒,3217
嚇,3199
廉,3160
升,3140
耗,3125
睦,3083
瑠,3026
臼,3024
猶,2986
栓,2973
穀,2966
冶,2949
薦,2936
繕,2934
培,2932
璃,2875
鯨,2858
疫,2789
碁,2736
羞,2733
遜,2702
韻,2697
扶,2694
串,2670
坑,2662
賄,2653
桁,2567
叙,2558
煎,2556
弔,2519
閲,2517
騰,2513
勾,2504
倣,2494
礁,2490
屯,2468
訟,2455
謁,2429
遷,2421
寡,2419
惧,2412
畝,2409
綻,2395
殉,2361
窒,2351
喩,2347
逝,2320
箋,2304
凹,2289
娯,2288
弧,2270
旺,2265
唆,2255
紡,2233
儒,2194
惰,2167
丼,2165
栽,2154
辣,2146
賓,2143
准,2138
陪,2085
践,2080
酢,2074
該,2057
肪,2050
累,2016
斥,2014
弊,2010
悼,2007
庸,1996
梗,1972
鋳,1961
拉,1958
奨,1912
搾,1895
硫,1894
填,1886
嫡,1881
且,1879
醸,1862
姻,1837
阜,1821
酎,1808
濫,1752
曽,1742
遡,1724
糾,1719
憾,1668
茨,1663
循,1662
酵,1595
緻,1552
舶,1490
詔,1489
埼,1473
窃,1467
腺,1461
賦,1451
罷,1412
堆,1401
壌,1399
麺,1384
栃,1328
毀,1298
矯,1294
賂,1293
泌,1265
痢,1244
凸,1185
摯,1161
畿,1158
諧,1153
祉,1145
壱,1139
氾,1127
卸,1077
俸,1075
衷,1070
脊,1070
嘱,1061
抄,1038
虞,1031
厘,1009
蚕,1007
倹,977
窯,966
瘍,963
賠,946
哺,944
憬,834
墾,800
租,760
丙,744
朕,739
汎,710
遵,707
弐,694
恣,659
繭,647
捗,646
沃,642
彙,594
璽,577
諮,533
劾,522
謄,522
斤,503
痘,489
迭,443
款,433
訃,418
頒,382
逓,332
塑,331
錮,290
酪,271
楷,194
